time,x,y,z,alpha,beta,gamma,u1,w1,h1,u2,w2,h2,u3,w3,h3,u4,w4,h4,ref_x,ref_y,ref_z,ref_theta
0.0,0.25,0.25,0.273,-0.0,0.0,-0.0,0.25985497348470743,-0.0011859017530783016,0.1,0.25976425344932763,-0.0011855233952387813,0.1,0.24455222277593686,-0.0015946361674340098,0.1,0.2836655134128343,0.000845928217751802,0.1,0.26,0.25,0.0,0.0
0.05,0.2532584690253257,0.24995630937569469,0.27355655028684145,0.003499503927573666,0.0002991809955737381,-0.0009329057635509301,0.27004435325903486,-0.005394886786856721,0.1,0.27921267574282266,0.01582642238559607,0.1,0.2590440491280289,-0.029017615702695388,0.1,0.2746291053943246,0.019568679305268535,0.1,0.27,0.25,0.0,0.0
0.1,0.2650592146183899,0.24953797693675406,0.27749597593339725,0.007621505197188386,-0.0010023207721887144,-0.0027028387632683096,0.2427316446833409,0.007105800693109415,0.1,0.23241151165033883,-0.014151918011657333,0.1,0.24472711020704188,-0.014228114347752315,0.1,0.22402440634973256,-0.0028511940807276464,0.1,0.28,0.25,0.0,0.0
0.15000000000000002,0.2785708085844219,0.24959445763395793,0.2809407471692601,0.008142496800592841,0.004044725086365243,-0.0011192589196684782,0.2175829491559359,0.006271422460422216,0.1,0.21095922720769422,0.008507017438426471,0.1,0.22094823629803506,-0.002147167130594768,0.1,0.21513876539915064,-0.005876990789901419,0.1,0.29000000000000004,0.25,0.0,0.0
0.2,0.28995066404123176,0.24991110441555983,0.2859435650021708,0.008099864745224528,0.0036838990491548053,9.319703123267242e-05,0.20321514559017717,0.0075118733356311085,0.1,0.21542318773309158,-0.007296521756960545,0.1,0.20850189338136096,-0.015328970637599776,0.1,0.20474590452783256,0.022246136042492093,0.1,0.30000000000000004,0.25,0.0,0.0
0.25,0.3000391066776914,0.24985503332232867,0.29070355256665725,0.007714321577802063,0.003695790822575291,-0.00013559706925948912,0.20609852871878384,-0.001876807484712166,0.1,0.19901708707633695,0.010264221046919264,0.1,0.20371797476369483,-0.007161456227484892,0.1,0.20810044939517544,-0.014699966613107017,0.1,0.31000000000000005,0.25,0.0,0.0
0.3,0.30984558944071744,0.2499797479414289,0.2970702537959334,0.0026349917977186426,-0.0018525708963140403,-0.00032970128671056274,0.20173984669786485,0.009806096751224883,0.1,0.2043000956468203,-0.01381446485102714,0.1,0.20351099898913355,-0.017083338941314707,0.1,0.1954170508903225,0.023241988816022737,0.1,0.32000000000000006,0.25,0.0,0.0
0.35,0.3202943857646784,0.24994262076421583,0.30226716368013357,0.0012277157313106894,-0.0024693759421791322,0.0005992817821505982,0.20074468357312122,9.94818220529498e-06,0.1,0.20037561340032503,0.0071472156686803205,0.1,0.19317409632168478,-0.007863575764381651,0.1,0.20127251272644006,-0.00793125237982796,0.1,0.33000000000000007,0.25,0.0,0.0
0.39999999999999997,0.3300877916807163,0.24975450980749492,0.30712799366043153,0.0003261246025748971,-0.004548739732528752,0.00042295161533163284,0.2013005064818044,0.007569270720650868,0.1,0.1973247478920565,-0.006352889343869528,0.1,0.20574504987991926,-0.0006529816079063929,0.1,0.19804690982553674,0.013865024196925603,0.1,0.3400000000000001,0.25,0.0,0.0
0.44999999999999996,0.34012993518989576,0.25026414649198003,0.31231180932313934,0.0010763622326504453,-0.003600900979609055,0.0009214290259403508,0.20001711381998796,0.00190996824367534,0.1,0.19907641503804707,0.0004493537592963027,0.1,0.20203465916663746,0.002204836323376061,0.1,0.20091150096516233,-0.011457082913379673,0.1,0.3500000000000001,0.25,0.0,0.0
